sampleID,allphotos,famacha_score,calinch_pixel,calCM_pixel,errcalposition,errrearposition,errsideposition,calsidebodyarea,calsidebellyht,calsidelength,calsidewither,calsidedepth,reardepth,rearht,rearbellyht,rearwidth,sidebodyarea,sidebellyht,sidelength,sidewither,sidedepth,girth,ADAPTMapKGS,ADAPTMapLBS,tape,weight,chest,ht,len,crosschk
MDGA-6-hi,"[('2013_Validation_GEO_MDGA_R0012856.png', 'Rear'), ('2013_Validation_GEO_MDGA_R0012858.png', 'SIGN')]",missed,0.293611686,0.745773676,1,0.979582358,1,1780.161766,28.33939971,59.66189412,56.67879941,28.33939971,28.33939971,48.2372761,19.89787639,19.89787639,1780.161766,28.33939971,59.66189412,56.67879941,28.33939971,75.77093611,14.15387827,31.20398568,57,45,64,51,58,V-06-MDGA.Yth-6
MDGA-6-lo,"[('2013_Validation_GEO_MDGA_R0012862.png', 'Rear'), ('2013_Validation_GEO_MDGA_R0012864.png', 'SIGN')]",missed,0.256885074,0.652488085,1,0.993861401,1,1894.825398,26.09952339,56.11397529,54.15651104,28.05698765,28.05698765,52.53223219,24.47524454,25.07220173,1894.825398,26.09952339,56.11397529,54.15651104,28.05698765,83.45513551,17.2201772,37.96402317,57,45,64,51,58,V-06-MDGA.Yth-6
MDGA-7-hi,"[('2013_Validation_GEO_MDGA_R0012869.png', 'Rear'), ('2013_Validation_GEO_MDGA_R0012873.png', 'SIGN')]",missed,0.243902439,0.619512191,1,0.996949313,1,1745.785354,27.25853641,56.99512158,51.41951186,24.16097545,24.16097545,49.50053507,25.33955962,22.3930992,1745.785354,27.25853641,56.99512158,51.41951186,24.16097545,73.12696945,13.53537208,29.84041183,59,43,65,51,54,V-07-MDGA.Yth-7
MDGA-7-lo,"[('2013_Validation_GEO_MDGA_R0012877.png', 'Rear'), ('2013_Validation_GEO_MDGA_R0012879.png', 'SIGN')]",missed,0.227272727,0.577272723,1,0.994935991,1,2335.068166,27.131818,58.30454507,56.5727269,29.4409089,29.4409089,61.44189683,32.00098793,24.32075083,2335.068166,27.131818,58.30454507,56.5727269,29.4409089,84.44861762,21.62774498,47.68105474,59,43,65,51,54,V-07-MDGA.Yth-7
MDGA-8-hi,"[('2013_Validation_GEO_MDGA_R0012883.png', 'Rear'), ('2013_Validation_GEO_MDGA_R0012885.png', 'SIGN')]",missed,0.268427485,0.681805807,1,0.992210452,1,1604.289063,24.54500905,55.22627035,49.7718239,25.22681485,25.22681485,45.53132437,20.30450952,19.07393318,1604.289063,24.54500905,55.22627035,49.7718239,25.22681485,69.58745229,11.69609512,25.78549692,50,34,61,47,50,V-08-MDGA.Yth-8
MDGA-8-lo,"[('2013_Validation_GEO_MDGA_R0012890.png', 'Rear'), ('2013_Validation_GEO_MDGA_R0012892.png', 'SIGN')]",missed,0.256410256,0.651282047,1,0.996628399,1,1794.933321,28.00512802,58.61538423,53.40512785,25.39999983,25.39999983,47.08292652,21.68292669,18.58536573,1794.933321,28.00512802,58.61538423,53.40512785,25.39999983,69.09205066,13.32053967,29.36678705,50,34,61,47,50,V-08-MDGA.Yth-8
MDGA-9-hi,"[('2013_Validation_GEO_MDGA_R0012899.png', 'Rear'), ('2013_Validation_GEO_MDGA_R0012901.png', 'SIGN')]",missed,0.277777778,0.705555551,1,0.991426612,1,882.6499942,26.10555538,41.6277775,45.15555526,19.04999987,19.04999987,45.7199997,26.66999982,16.50999989,882.6499942,26.10555538,41.6277775,45.15555526,19.04999987,55.85751701,4.449973254,9.810519704,24,16,47,42,35,V-09-MDGA.Yth-9
MDGA-9-lo,"[('2013_Validation_GEO_MDGA_R0012905.png', 'Rear'), ('2013_Validation_GEO_MDGA_R0012907.png', 'SIGN')]",missed,0.277777778,0.705555551,1,0.986696467,1,1011.76666,28.92777759,44.44999971,49.38888856,20.46111098,20.46111098,44.53300624,24.07189527,16.85032669,1011.76666,28.92777759,44.44999971,49.38888856,20.46111098,58.60866923,5.357002771,11.81017913,24,16,47,42,35,V-09-MDGA.Yth-9
MDGA-10-hi,"[('2013_Validation_GEO_MDGA_R0012911.png', 'Rear'), ('2013_Validation_GEO_MDGA_R0012913.png', 'SIGN')]",missed,0.243902439,0.619512191,1,0.995423969,1,4554.034116,41.5073168,89.20975551,81.77560922,40.26829242,40.26829242,87.91910511,47.65081269,29.53008111,4554.034116,41.5073168,89.20975551,81.77560922,40.26829242,109.6390287,41.03999071,90.47776572,120,111,87,76,79,V-10-MDGA.Yth-10
MDGA-10-lo,"[('2013_Validation_GEO_MDGA_R0012919.png', 'Rear'), ('2013_Validation_GEO_MDGA_R0012921.png', 'SIGN')]",missed,0.23255814,0.590697671,1,0.992394538,1,4126.613926,38.98604625,82.1069762,76.79069717,37.80465091,37.80465091,72.50207024,34.69741933,22.78636493,4126.613926,38.98604625,82.1069762,76.79069717,37.80465091,95.17614513,36.8024013,81.13547263,120,111,87,76,79,V-10-MDGA.Yth-10
MDGA-11-hi,"[('2013_Validation_GEO_MDGA_R0012926.png', 'Rear'), ('2013_Validation_GEO_MDGA_R0012929.png', 'SIGN')]",missed,0.265829594,0.675207165,1,0.994457618,1,3299.06221,41.18763709,82.37527417,75.62320252,34.43556543,34.43556543,80.76705347,46.33148804,23.16574402,3299.06221,41.18763709,82.37527417,75.62320252,34.43556543,90.4799253,26.80437681,59.09358368,98,83,81,73,81,V-11-MDGA.Yth-11
MDGA-11-lo,"[('2013_Validation_GEO_MDGA_R0012934.png', 'Rear'), ('2013_Validation_GEO_MDGA_R0012936.png', 'SIGN')]",missed,0.240152228,0.609986655,1,0.996795939,1,3207.919817,40.86910586,75.63834518,73.80838522,32.93927935,32.93927935,76.85831849,43.91903914,23.25125601,3207.919817,40.86910586,75.63834518,73.80838522,32.93927935,88.26388656,24.1675984,53.28047762,98,83,81,73,81,V-11-MDGA.Yth-11
MDGA-12-hi,"[('2013_Validation_GEO_MDGA_R0012942.png', 'Rear'), ('2013_Validation_GEO_MDGA_R0012945.png', 'SIGN')]",missed,0.220392012,0.559795706,1,0.993274558,1,4200.706977,40.30529083,82.28996877,76.69201171,36.38672089,36.38672089,87.71798785,51.33126696,33.13790652,4200.706977,40.30529083,82.28996877,76.69201171,36.38672089,109.2090294,39.58576154,87.27173658,116,114,86,76,80,V-12-MDGA.Yth-12
MDGA-12-lo,"[('2013_Validation_GEO_MDGA_R0012950.png', 'Rear'), ('2013_Validation_GEO_MDGA_R0012952.png', 'SIGN')]",missed,0.211577574,0.537407033,1,0.999300546,1,3754.325534,37.61849232,74.69957761,72.01254244,34.39405012,34.39405012,82.43653283,48.04248271,25.11311596,3754.325534,37.61849232,74.69957761,72.01254244,34.39405012,93.4736379,32.40901724,71.44971084,116,114,86,76,80,V-12-MDGA.Yth-12
MDGA-13-hi,"[('2013_Validation_GEO_MDGA_R0012957.png', 'Rear'), ('2013_Validation_GEO_MDGA_R0012959.png', 'SIGN')]",missed,0.239921444,0.609400464,1,0.995572131,1,4355.385118,39.00162971,85.31606499,78.61265988,39.61103017,39.61103017,71.86572617,32.254696,32.254696,4355.385118,39.00162971,85.31606499,78.61265988,39.61103017,112.8864187,40.42634995,89.12491833,144,144,93,75,82,V-13-MDGA.Yth-13
MDGA-13-lo,"[('2013_Validation_GEO_MDGA_R0012965.png', 'Rear'), ('2013_Validation_GEO_MDGA_R0012967.png', 'SIGN')]",missed,0.243902439,0.619512191,1,0.984441495,1,4332.248752,42.12682899,84.87317017,82.39512141,40.26829242,40.26829242,74.15258726,33.88429484,29.46460421,4332.248752,42.12682899,84.87317017,82.39512141,40.26829242,109.5361779,39.28723361,86.61359462,144,144,93,75,82,V-13-MDGA.Yth-13
MO-2-hi,"[('2013_Validation_GEO_Montgomery__R0013379.png', 'Rear'), ('2013_Validation_GEO_Montgomery__R0013381.png', 'SIGN')]",missed,0.25,0.634999996,1,0.995404412,1,5323.839965,34.92499977,99.69499934,78.10499948,43.17999972,43.17999972,72.16383514,28.98383543,40.22246549,5323.839965,34.92499977,99.69499934,78.10499948,43.17999972,131.008286,52.07127287,114.7975998,172,183,103,70,93,V-43-Montgomery-2
MO-2-lo,"[('2013_Validation_GEO_Montgomery__R0013385.png', 'Rear'), ('2013_Validation_GEO_Montgomery__R0013387.png', 'SIGN')]",missed,0.222435315,0.564985696,1,0.999331386,1,5450.417006,35.59409883,93.78762548,77.40304031,41.80894148,41.80894148,80.8306202,39.02167872,36.23441595,5450.417006,35.59409883,93.78762548,77.40304031,41.80894148,122.5902192,54.04613983,119.1514397,172,183,103,70,93,V-43-Montgomery-2
MO-3-hi,"[('2013_Validation_GEO_Montgomery__R0013391.png', 'Rear'), ('2013_Validation_GEO_Montgomery__R0013393.png', 'SIGN')]",missed,0.191912913,0.487458796,1,0.998486415,1,4666.93051,31.68482172,81.40561888,67.26931381,35.58449209,35.58449209,71.16898417,35.58449209,35.58449209,4666.93051,31.68482172,81.40561888,67.26931381,35.58449209,111.7919789,48.1412223,106.1333143,163,149,98,68,82,V-44-Montgomery-3
MO-3-lo,"[('2013_Validation_GEO_Montgomery__R0013398.png', 'Rear'), ('2013_Validation_GEO_Montgomery__R0013400.png', 'SIGN')]",missed,0.204601584,0.519688021,1,0.984390512,1,3925.203623,36.37816147,84.70914742,67.03975471,30.66159324,30.66159324,51.85973177,21.19813854,26.11913498,3925.203623,36.37816147,84.70914742,67.03975471,30.66159324,89.19095932,31.45844518,69.35405646,163,149,98,68,82,V-44-Montgomery-3
MO-4-hi,"[('2013_Validation_GEO_Montgomery__R0013405.png', 'Rear'), ('2013_Validation_GEO_Montgomery__R0013407.png', 'SIGN')]",missed,0.196965675,0.500292811,1,0.991378783,1,3688.158602,34.01991114,74.54362883,65.53835823,31.51844709,31.51844709,63.44622466,31.92777757,25.37848986,3688.158602,34.01991114,74.54362883,65.53835823,31.51844709,89.37349957,31.17479953,68.72872433,95,87,80,61,68,V-45-Montgomery-4
MO-4-lo,"[('2013_Validation_GEO_Montgomery__R0013412.png', 'Rear'), ('2013_Validation_GEO_Montgomery__R0013414.png', 'SIGN')]",missed,0.227895361,0.578854213,1,0.998209093,1,3586.00185,37.04666964,78.72417298,70.620214,33.57354436,33.57354436,68.34614387,34.77259952,26.37921343,3586.00185,37.04666964,78.72417298,70.620214,33.57354436,94.17357171,31.40952785,69.24621213,95,87,80,61,68,V-45-Montgomery-4
MO-5-hi,"[('2013_Validation_GEO_Montgomery__R0013418.png', 'Rear'), ('2013_Validation_GEO_Montgomery__R0013420.png', 'SIGN')]",missed,0.238384654,0.605497018,1,0.983501768,1,4216.075738,35.11882706,86.58607361,72.65964219,37.54081513,37.54081513,83.99757386,46.45675872,37.07155494,4216.075738,35.11882706,86.58607361,72.65964219,37.54081513,117.2008368,42.73112405,94.20607958,180,148,102,70,74,V-46-Montgomery-5
MO-5-lo,"[('2013_Validation_GEO_Montgomery__R0013425.png', 'Rear'), ('2013_Validation_GEO_Montgomery__R0013427.png', 'SIGN')]",missed,0.238095238,0.604761901,1,0.984456148,1,4093.028544,41.12380925,84.06190421,78.6190471,37.49523785,37.49523785,75.93972222,38.44448438,34.64749826,4093.028544,41.12380925,84.06190421,78.6190471,37.49523785,113.3215449,36.05773995,79.49377403,180,148,102,70,74,V-46-Montgomery-5
MO-6-hi,"[('2013_Validation_GEO_Montgomery__R0013431.png', 'Rear'), ('2013_Validation_GEO_Montgomery__R0013433.png', 'SIGN')]",missed,0.217391304,0.552173909,1,0.998545878,1,4199.834755,35.3391302,82.2739125,71.23043431,35.89130411,35.89130411,74.06142118,38.17011707,34.18219439,4199.834755,35.3391302,82.2739125,71.23043431,35.89130411,110.0711941,41.40019212,91.27187456,164,133,98,62,71,V-47-Montgomery-6
MO-6-lo,"[('2013_Validation_GEO_Montgomery__R0013441.png', 'Rear'), ('2013_Validation_GEO_Montgomery__R0013443.png', 'SIGN')]",missed,0.214948367,0.545968849,1,0.998556162,1,4034.163829,35.48797521,80.25742087,70.42998158,34.94200636,34.94200636,67.76631537,32.82430901,28.05948996,4034.163829,35.48797521,80.25742087,70.42998158,34.94200636,98.96251901,37.10979741,81.8131656,164,133,98,62,71,V-47-Montgomery-6
MO-7-hi,"[('2013_Validation_GEO_Montgomery__R0013447.png', 'Rear'), ('2013_Validation_GEO_Montgomery__R0013449.png', 'SIGN')]",missed,0.238095238,0.604761901,1,0.990551776,1,3818.466641,32.05238074,81.0380947,68.33809479,36.28571405,36.28571405,79.8285709,43.54285686,33.69387733,3818.466641,32.05238074,81.0380947,68.33809479,36.28571405,109.9236851,39.18940123,86.39791096,175,146,101,70,77,V-48-Montgomery-7
MO-7-lo,"[('2013_Validation_GEO_Montgomery__R0013453.png', 'Rear'), ('2013_Validation_GEO_Montgomery__R0013455.png', 'SIGN')]",missed,0.18837815,0.478480497,1,1,1,4855.1416,32.53667377,81.34168443,68.90119152,36.36451775,36.36451775,70.8151135,34.45059576,34.45059576,4855.1416,32.53667377,81.34168443,68.90119152,36.36451775,111.2361202,47.99916773,105.8201373,175,146,101,70,77,V-48-Montgomery-7
MO-8-hi,"[('2013_Validation_GEO_Montgomery__R0013459.png', 'Rear'), ('2013_Validation_GEO_Montgomery__R0013461.png', 'SIGN')]",missed,0.217391304,0.552173909,1,0.99594923,1,4948.030402,36.44347802,90.00434723,75.09565168,38.65217366,38.65217366,80.35583471,41.70366105,33.0577801,4948.030402,36.44347802,90.00434723,75.09565168,38.65217366,112.641732,43.88855332,96.75777641,156,157,96,72,84,V-49-Montgomery-8
MO-8-lo,"[('2013_Validation_GEO_Montgomery__R0013466.png', 'Rear'), ('2013_Validation_GEO_Montgomery__R0013469.png', 'SIGN')]",missed,0.226119461,0.574343428,1,0.991347229,1,4397.74763,36.18363598,86.15151424,73.51595882,37.33232284,37.33232284,76.62950477,39.29718193,30.455316,4397.74763,36.18363598,86.15151424,73.51595882,37.33232284,106.4805741,40.45024536,89.17759873,156,157,96,72,84,V-49-Montgomery-8
MO-9-hi,"[('2013_Validation_GEO_Montgomery__R0013473.png', 'Rear'), ('2013_Validation_GEO_Montgomery__R0013475.png', 'SIGN')]",missed,0.196078431,0.498039212,1,0.999038831,1,5757.831335,35.85882329,91.63921508,75.70196028,39.84313699,39.84313699,74.5781795,34.73504251,34.73504251,5757.831335,35.85882329,91.63921508,75.70196028,39.84313699,117.1471304,53.21993859,117.3299763,160,156,97,76,86,V-50-Montgomery-9
MO-9-lo,"[('2013_Validation_GEO_Montgomery__R0013482.png', 'Rear'), ('2013_Validation_GEO_Montgomery__R0013484.png', 'SIGN')]",missed,0.238095238,0.604761901,1,0.996850592,1,5300.73806,35.68095215,93.73809462,79.223809,43.54285686,43.54285686,87.72604984,44.18319299,32.01680651,5300.73806,35.68095215,93.73809462,79.223809,43.54285686,118.6888417,49.27016102,108.6222002,160,156,97,76,86,V-50-Montgomery-9
MO-10-hi,"[('2013_Validation_GEO_Montgomery__R0013488.png', 'Rear'), ('2013_Validation_GEO_Montgomery__R0013491.png', 'SIGN')]",missed,0.186644532,0.474077109,1,1,1,4613.244346,35.55578316,83.91164825,68.74118077,33.18539761,33.18539761,66.37079523,33.18539761,27.49647231,4613.244346,35.55578316,83.91164825,68.74118077,33.18539761,95.31885838,39.24374417,86.51771674,147,143,94,71,81,V-51-Montgomery-10
MO-10-lo,"[('2013_Validation_GEO_Montgomery__R0013495.png', 'Rear'), ('2013_Validation_GEO_Montgomery__R0013497.png', 'SIGN')]",missed,0.198706178,0.504713689,1,0.994735447,1,5113.254388,35.32995826,86.81075459,73.18348498,37.85352671,37.85352671,72.58970417,34.73617745,28.05614333,5113.254388,35.32995826,86.81075459,73.18348498,37.85352671,103.5306676,45.52747656,100.3709866,147,143,94,71,81,V-51-Montgomery-10
