sampleID,allphotos,famacha_score,calinch_pixel,calCM_pixel,errcalposition,errrearposition,errsideposition,calsidebodyarea,calsidebellyht,calsidelength,calsidewither,calsidedepth,reardepth,rearht,rearbellyht,rearwidth,sidebodyarea,sidebellyht,sidelength,sidewither,sidedepth,girth,ADAPTMapKGS,ADAPTMapLBS
AF-6-hi,"[('2013_Validation_GEO_Allegany_R0013038.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013040.png', 'SIGN')]",missed,0.26964074061921384,0.6848874766525458,1.0,0.9876244886805654,1.0,2805.98399184548,41.77813607580529,76.02250990843258,73.96784747847495,32.18971140266965,32.18971140266965,70.23209760582469,38.04238620315504,21.06962928174741,2805.98399184548,41.77813607580529,76.02250990843258,73.96784747847495,32.18971140266965,83.6595767146003,21.297768830450856,46.953581259040845
AF-6-lo,"[('2013_Validation_GEO_Allegany_R0013044.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013046.png', 'SIGN')]",missed,0.2261951839471001,0.5745357634336982,1.0,0.9952625684036238,1.0,3240.3817057660576,45.38832531126216,76.41325653668186,76.41325653668186,31.0249312254197,31.0249312254197,68.36001795431459,37.33508672889489,23.13723684607571,3240.3817057660576,45.38832531126216,76.41325653668186,76.41325653668186,31.0249312254197,85.0777346579528,22.74555935719802,50.145415609618375
AF-7-hi,"[('2013_Validation_GEO_Allegany_R0013051.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013053.png', 'SIGN')]",missed,0.2110208960145077,0.5359930723392952,1.0,0.9987964913904117,1.0,1105.7537082359659,25.727667472286168,38.055508136089955,45.55941114884009,19.83174367655392,19.831743676553923,46.9699192339435,27.13817555738958,18.26607970208914,1105.7537082359659,25.727667472286168,38.055508136089955,45.55941114884009,19.83174367655392,59.84392102205326,6.595054473655886,14.539618145064036
AF-7-lo,"[('2013_Validation_GEO_Allegany_R0013057.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013059.png', 'SIGN')]",missed,0.24390243902439024,0.6195121910331707,1.0,0.9891839273159916,1.0,1172.1170654347588,27.25853640545951,45.22438994542146,47.702438709554144,20.44390230409463,20.443902304094635,50.323451825463714,29.87954952136908,17.822889188185066,1172.1170654347588,27.25853640545951,45.22438994542146,47.702438709554144,20.44390230409463,60.10933551429915,6.698711207912751,14.76814231272322
AF-9-hi,"[('2013_Validation_GEO_Allegany_R0013080.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013082.png', 'SIGN')]",missed,0.1668483593431364,0.42379482993452056,1.0,0.9913605043055356,1.0,3030.5568288617565,39.41291918391041,66.53578829971973,63.9930193201126,24.58010013620219,24.580100136202194,54.01153582560219,29.431435689399994,18.435075102151647,3030.5568288617565,39.41291918391041,66.53578829971973,63.9930193201126,24.58010013620219,67.568079260845,18.177228016718125,40.073960776905516
AF-9-lo,"[('2013_Validation_GEO_Allegany_R0013086.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013089.png', 'SIGN')]",missed,0.12089952597446141,0.3070847939483723,1.0,1.0,1.0,4504.319757634725,35.62183609801119,62.33821317151958,63.87363714126144,28.25180104325025,28.25180104325025,56.5036020865005,28.25180104325025,22.110105164282807,4504.319757634725,35.62183609801119,62.33821317151958,63.87363714126144,28.25180104325025,79.10829728118202,34.6897415652722,76.47785138466331
AF-10-hi,"[('2013_Validation_GEO_Allegany_R0013093.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013095.png', 'SIGN')]",missed,0.25,0.634999995809,1.0,0.9944029850746269,1.0,4711.064968906971,34.289999773686,89.534999409069,76.834999492889,42.544999719203,42.544999719203,81.01034193108516,38.46534221188216,36.134109350555974,4711.064968906971,34.289999773686,89.534999409069,76.834999492889,42.544999719203,123.58885552227241,47.74172164521284,105.25256540065266
AF-10-lo,"[('2013_Validation_GEO_Allegany_R0013100.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013102.png', 'SIGN')]",missed,0.19793474172870185,0.5027542406727247,1.0,0.9940488867873608,1.0,5240.20745053181,38.7120765317998,84.46271243301774,78.42966154494505,39.717585013145246,39.71758501314525,75.50705722279262,35.78947220964737,28.80616055898447,5240.20745053181,38.7120765317998,84.46271243301774,78.42966154494505,39.717585013145246,107.63684784292943,45.5979895244315,100.52644121684575
AF-11-hi,"[('2013_Validation_GEO_Allegany_R0013106.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013109.png', 'SIGN')]",missed,0.39473684210526316,1.00263157233,1.0,0.9104880061295456,1.0,3441.0315562365604,35.092105031550005,93.24473622669001,82.21578893106,47.123683899510006,47.123683899510006,85.33207625046407,38.208392350954064,31.840326959128383,3441.0315562365604,35.092105031550005,93.24473622669001,82.21578893106,47.123683899510006,124.03637820574151,37.0631420299009,81.71030800785927
AF-11-lo,"[('2013_Validation_GEO_Allegany_R0013118.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013114.png', 'SIGN')]",missed,0.28472156602074716,0.7231927729196255,1.0,0.9566714228469567,1.0,4216.213866121417,34.713253100142026,92.56867493371206,76.6584339294803,41.94518082933828,41.94518082933828,85.30424415854188,43.35906332920361,32.990591663524484,4216.213866121417,34.713253100142026,92.56867493371206,76.6584339294803,41.94518082933828,117.70883617732687,41.457638610249326,91.3985224833095
AF-12-hi,"[('2013_Validation_GEO_Allegany_R0013121.png', 'SIGN'), ('2013_Validation_GEO_Allegany_R0013119.png', 'Rear')]",missed,0.2631578947368421,0.6684210482199999,1.0,0.9889196675900277,1.0,2546.01577266998,38.09999974853999,64.83684167733999,71.52105215953999,33.421052411,33.421052411,62.808529531017236,29.38747712001724,30.53992720315517,2546.01577266998,38.09999974853999,64.83684167733999,71.52105215953999,33.421052411,100.4696718361182,23.31025994676746,51.39036831947534
